"str_cia_CVM","dte_refer","dt_publi"
"TELEC BRASILEIRAS S.A. TELEBRAS","2011-03-31","2011-05-13"
"TELEC BRASILEIRAS S.A. TELEBRAS","2011-06-30","2011-08-15"
"TELEC BRASILEIRAS S.A. TELEBRAS","2011-09-30","2011-11-11"
"AMERICANAS S.A.","2011-03-31","2011-05-06"
"AMERICANAS S.A.","2011-06-30","2011-08-04"
"AMERICANAS S.A.","2011-09-30","2011-11-10"
"ENERGISA S.A.","2011-03-31","2011-05-11"
"ENERGISA S.A.","2011-06-30","2011-08-08"
"ENERGISA S.A.","2011-09-30","2011-11-09"
"FERROVIA CENTRO-ATLANTICA S.A.","2011-03-31","2011-05-06"
"FERROVIA CENTRO-ATLANTICA S.A.","2011-06-30","2011-07-28"
"FERROVIA CENTRO-ATLANTICA S.A.","2011-09-30","2011-10-26"
"CIELO S.A.","2011-03-31","2011-05-04"
"CIELO S.A.","2011-06-30","2011-07-26"
"CIELO S.A.","2011-09-30","2011-11-01"
"NEOENERGIA S.A.","2011-03-31","2011-05-13"
"NEOENERGIA S.A.","2011-06-30","2011-07-29"
"NEOENERGIA S.A.","2011-09-30","2011-10-31"
"GAFISA S.A.","2011-03-31","2011-05-10"
"GAFISA S.A.","2011-06-30","2011-08-11"
"GAFISA S.A.","2011-09-30","2011-11-14"
"PORTO SEGURO S.A.","2011-03-31","2011-05-03"
"PORTO SEGURO S.A.","2011-06-30","2011-08-02"
"PORTO SEGURO S.A.","2011-09-30","2011-11-01"
"TEGMA GESTAO LOGISTICA S.A.","2011-03-31","2011-05-13"
"TEGMA GESTAO LOGISTICA S.A.","2011-06-30","2011-08-11"
"TEGMA GESTAO LOGISTICA S.A.","2011-09-30","2011-11-08"
"PADTEC HOLDING S.A.","2011-03-31","2011-05-13"
"PADTEC HOLDING S.A.","2011-06-30","2011-08-12"
"PADTEC HOLDING S.A.","2011-09-30","2011-11-11"
"RUMO S.A.","2011-03-31","2011-05-10"
"RUMO S.A.","2011-06-30","2011-08-09"
"RUMO S.A.","2011-09-30","2011-11-08"
"CPFL ENERGIA S.A.","2011-03-31","2011-05-11"
"CPFL ENERGIA S.A.","2011-06-30","2011-08-10"
"CPFL ENERGIA S.A.","2011-09-30","2011-11-10"
"ENGIE BRASIL ENERGIA S.A.","2011-03-31","2011-04-27"
"ENGIE BRASIL ENERGIA S.A.","2011-06-30","2011-07-29"
"ENGIE BRASIL ENERGIA S.A.","2011-09-30","2011-11-04"
"TELEFÔNICA BRASIL S.A","2011-03-31","2011-05-12"
"TELEFÔNICA BRASIL S.A","2011-06-30","2011-07-27"
"TELEFÔNICA BRASIL S.A","2011-09-30","2011-11-10"
"SANTOS BRASIL PARTICIPACOES S.A.","2011-03-31","2011-04-27"
"SANTOS BRASIL PARTICIPACOES S.A.","2011-06-30","2011-07-28"
"SANTOS BRASIL PARTICIPACOES S.A.","2011-09-30","2011-11-08"
"JBS S.A.","2011-03-31","2011-05-11"
